Date,Sales
2022-04-01,645
2022-04-02,259
2022-04-03,777
2022-04-04,786
2022-04-05,365
2022-04-06,742
2022-04-07,812
2022-04-08,413
2022-04-09,596
2022-04-10,725
2022-04-11,772
2022-04-12,308
2022-04-13,816
2022-04-14,896
2022-04-15,634
2022-04-16,723
2022-04-17,485
2022-04-18,174
2022-04-19,712
2022-04-20,255
2022-04-21,353
2022-04-22,641
2022-04-23,981
2022-04-24,762
2022-04-25,938
2022-04-26,427
2022-04-27,233
2022-04-28,611
2022-04-29,379
2022-04-30,629
2022-05-01,203
2022-05-02,927
2022-05-03,922
2022-05-04,463
2022-05-05,220
2022-05-06,353
2022-05-07,878
2022-05-08,149
2022-05-09,652
2022-05-10,143
2022-05-11,404
2022-05-12,689
2022-05-13,895
2022-05-14,151
2022-05-15,206
2022-05-16,385
2022-05-17,496
2022-05-18,660
2022-05-19,848
2022-05-20,359
2022-05-21,671
2022-05-22,130
2022-05-23,825
2022-05-24,906
2022-05-25,573
2022-05-26,551
2022-05-27,750
2022-05-28,688
2022-05-29,787
2022-05-30,334
2022-05-31,669
2022-06-01,344
2022-06-02,395
2022-06-03,270
2022-06-04,288
2022-06-05,636
2022-06-06,162
2022-06-07,848
2022-06-08,420
2022-06-09,100
2022-06-10,227
2022-06-11,848
2022-06-12,993
2022-06-13,585
2022-06-14,816
2022-06-15,994
2022-06-16,316
2022-06-17,751
2022-06-18,609
2022-06-19,172
2022-06-20,199
2022-06-21,451
2022-06-22,408
2022-06-23,311
2022-06-24,490
2022-06-25,483
2022-06-26,687
2022-06-27,209
2022-06-28,938
2022-06-29,461
2022-06-30,929
2022-07-01,297
2022-07-02,169
2022-07-03,591
2022-07-04,868
2022-07-05,588
2022-07-06,426
2022-07-07,207
2022-07-08,864
2022-07-09,412
2022-07-10,238
2022-07-11,486
2022-07-12,402
2022-07-13,292
2022-07-14,794
2022-07-15,708
2022-07-16,917
2022-07-17,417
2022-07-18,142
2022-07-19,323
2022-07-20,641
2022-07-21,924
2022-07-22,390
2022-07-23,378
2022-07-24,960
2022-07-25,795
2022-07-26,295
2022-07-27,228
2022-07-28,575
2022-07-29,562
2022-07-30,996
2022-07-31,599
2022-08-01,203
2022-08-02,928
2022-08-03,619
2022-08-04,387
2022-08-05,150
2022-08-06,236
2022-08-07,156
2022-08-08,196
2022-08-09,240
2022-08-10,170
2022-08-11,753
2022-08-12,297
2022-08-13,211
2022-08-14,916
2022-08-15,161
2022-08-16,629
2022-08-17,650
2022-08-18,421
2022-08-19,710
2022-08-20,153
2022-08-21,241
2022-08-22,648
2022-08-23,426
2022-08-24,543
2022-08-25,510
2022-08-26,583
2022-08-27,110
2022-08-28,210
2022-08-29,248
2022-08-30,941
2022-08-31,693
2022-09-01,110
2022-09-02,113
2022-09-03,347
2022-09-04,830
2022-09-05,829
2022-09-06,479
2022-09-07,700
2022-09-08,428
2022-09-09,351
2022-09-10,216
2022-09-11,304
2022-09-12,593
2022-09-13,521
2022-09-14,220
2022-09-15,155
2022-09-16,673
2022-09-17,350
2022-09-18,359
2022-09-19,912
2022-09-20,871
2022-09-21,455
2022-09-22,552
2022-09-23,928
2022-09-24,298
2022-09-25,454
2022-09-26,197
2022-09-27,715
2022-09-28,956
2022-09-29,899
2022-09-30,235
2022-10-01,263
2022-10-02,467
2022-10-03,712
2022-10-04,389
2022-10-05,449
2022-10-06,983
2022-10-07,359
2022-10-08,634
2022-10-09,631
2022-10-10,415
2022-10-11,641
2022-10-12,217
2022-10-13,642
2022-10-14,253
2022-10-15,728
2022-10-16,404
2022-10-17,571
2022-10-18,666
2022-10-19,764
2022-10-20,684
2022-10-21,939
2022-10-22,677
2022-10-23,971
2022-10-24,402
2022-10-25,933
2022-10-26,982
2022-10-27,706
2022-10-28,564
2022-10-29,705
2022-10-30,244
2022-10-31,158
2022-11-01,644
2022-11-02,159
2022-11-03,611
2022-11-04,724
2022-11-05,676
2022-11-06,802
2022-11-07,340
2022-11-08,445
2022-11-09,709
2022-11-10,109
2022-11-11,172
2022-11-12,407
2022-11-13,772
2022-11-14,841
2022-11-15,480
2022-11-16,655
2022-11-17,472
2022-11-18,243
2022-11-19,995
2022-11-20,934
2022-11-21,720
2022-11-22,359
2022-11-23,725
2022-11-24,697
2022-11-25,589
2022-11-26,231
2022-11-27,640
2022-11-28,307
2022-11-29,692
2022-11-30,216
2022-12-01,437
2022-12-02,132
2022-12-03,367
2022-12-04,530
2022-12-05,824
2022-12-06,801
2022-12-07,904
2022-12-08,706
2022-12-09,100
2022-12-10,447
2022-12-11,770
2022-12-12,296
2022-12-13,112
2022-12-14,544
2022-12-15,743
2022-12-16,628
2022-12-17,573
2022-12-18,557
2022-12-19,997
2022-12-20,898
2022-12-21,512
2022-12-22,417
2022-12-23,122
2022-12-24,435
2022-12-25,943
2022-12-26,342
2022-12-27,164
2022-12-28,108
2022-12-29,141
2022-12-30,799
2022-12-31,477
2023-01-01,458
2023-01-02,364
2023-01-03,352
2023-01-04,884
2023-01-05,735
2023-01-06,710
2023-01-07,655
2023-01-08,554
2023-01-09,356
2023-01-10,188
2023-01-11,252
2023-01-12,604
2023-01-13,361
2023-01-14,259
2023-01-15,215
2023-01-16,917
2023-01-17,565
2023-01-18,349
2023-01-19,557
2023-01-20,478
2023-01-21,355
2023-01-22,484
2023-01-23,973
2023-01-24,810
2023-01-25,135
2023-01-26,228
2023-01-27,975
2023-01-28,635
2023-01-29,986
2023-01-30,778
2023-01-31,614
2023-02-01,889
2023-02-02,722
2023-02-03,480
2023-02-04,283
2023-02-05,243
2023-02-06,389
2023-02-07,920
2023-02-08,941
2023-02-09,487
2023-02-10,374
2023-02-11,450
2023-02-12,100
2023-02-13,562
2023-02-14,281
2023-02-15,850
2023-02-16,193
2023-02-17,117
2023-02-18,652
2023-02-19,953
2023-02-20,279
2023-02-21,334
2023-02-22,753
2023-02-23,589
2023-02-24,241
2023-02-25,787
2023-02-26,870
2023-02-27,968
2023-02-28,796
2023-03-01,464
2023-03-02,672
2023-03-03,906
2023-03-04,149
2023-03-05,950
2023-03-06,613
2023-03-07,889
2023-03-08,961
2023-03-09,362
2023-03-10,275
2023-03-11,297
2023-03-12,152
2023-03-13,948
2023-03-14,827
2023-03-15,714
2023-03-16,656
2023-03-17,659
2023-03-18,220
2023-03-19,757
2023-03-20,385
2023-03-21,349
2023-03-22,512
2023-03-23,500
2023-03-24,212
2023-03-25,416
2023-03-26,153
2023-03-27,184
2023-03-28,408
2023-03-29,459
2023-03-30,342
2023-03-31,551
